# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = eight_schools_cp_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = eight_schools.data.R
# init = 2 (Default)
# random
#   seed = 483892929
# output
#   file = eight_schools_cp.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
-16.5234,0.839083,0.318247,3,7,0,23.2192,9.07547,3.13617,13.4118,13.8071,3.28185,5.76791,12.0514,5.22353,10.7668,7.27792
-16.5234,0.0275695,0.318247,4,15,0,26.6397,9.07547,3.13617,13.4118,13.8071,3.28185,5.76791,12.0514,5.22353,10.7668,7.27792
-16.3295,0.842716,0.318247,3,7,0,20.1493,7.18089,3.88476,2.04748,8.45225,10.3293,11.4427,7.70438,4.64965,9.64844,13.5647
-15.6567,0.977818,0.318247,3,7,0,18.6644,8.49226,4.45383,12.8777,10.119,4.91985,7.58647,3.24922,0.0238928,11.8455,9.0708
-16.0388,0.749352,0.318247,3,7,0,19.0829,8.74843,4.18772,7.37228,2.16383,7.97988,8.11079,8.83911,5.81798,11.7365,2.11552
-20.2974,0.871316,0.318247,3,7,0,25.2394,2.41484,5.67056,4.19509,5.08023,5.39074,9.84912,-5.42738,6.76878,-3.88892,9.00652
-21.5584,0.993535,0.318247,4,15,0,25.3704,9.7206,7.58619,15.6107,14.8119,12.9368,6.79183,12.4929,-6.15738,18.9861,4.32915
-18.5709,0.829116,0.318247,4,15,0,24.195,10.7537,4.51343,13.4021,3.31367,5.19683,5.3398,5.53913,14.4077,6.30984,14.4984
-21.6299,0.918298,0.318247,4,15,0,24.3331,4.39244,6.96656,7.00209,16.1021,-0.56452,7.45044,8.48758,4.27374,20.8068,-2.47528
-22.0966,0.904281,0.318247,4,15,0,26.0663,2.55394,8.40978,14.8513,1.91783,10.9715,2.4923,-0.215293,11.3304,-0.897129,14.9665
-22.6541,0.984386,0.318247,4,15,0,25.7761,11.5276,6.23146,9.07154,16.2039,7.69851,15.663,13.5893,5.60638,27.9273,5.36977
-22.6353,0.898579,0.318247,3,7,0,27.4493,12.2746,4.56928,5.6336,16.6781,8.32026,15.7759,12.3698,6.75722,25.2903,7.74601
-19.1786,1,0.318247,4,15,0,26.4338,9.19385,8.4439,22.9516,6.66482,4.84744,4.1383,6.52844,11.1397,15.4926,4.75314
-24.757,0.811065,0.318247,4,15,0,26.9013,-0.362581,3.94756,9.53447,11.6071,6.79213,7.15826,-4.12691,2.4095,0.89307,3.10972
-17.186,1,0.318247,2,3,0,25.3913,2.69381,4.968,5.06636,8.99289,4.89687,6.29868,-6.02143,2.13148,2.18207,1.92574
-17.5011,0.922009,0.318247,4,15,0,23.4816,9.34506,4.22259,11.8447,1.12046,6.10715,13.7139,4.38112,10.6813,16.354,10.6819
-20.7429,0.845805,0.318247,3,7,0,24.4357,5.20667,7.05651,5.76808,17.5762,9.90453,2.35945,0.956264,-0.841032,0.73831,0.432325
-14.9156,0.959171,0.318247,3,7,0,22.5513,6.47175,4.02084,11.4699,10.4201,5.01173,0.41403,6.8531,7.47438,7.24078,9.13889
-17.0859,0.798202,0.318247,3,7,0,18.9255,10.8015,4.44856,10.8553,9.73691,6.59221,1.63226,7.26297,11.2875,6.51986,11.0578
-13.8513,0.357098,0.318247,2,3,0,21.3516,8.06858,3.67264,9.57311,8.11088,7.11883,5.74909,9.19823,12.7899,9.45665,11.6987
-17.7776,0.894846,0.318247,2,3,0,20.6641,9.47778,2.39455,12.649,13.2062,10.3996,6.70611,3.9271,6.54944,4.02254,9.00337
-13.7012,1,0.318247,3,7,0,19.0542,8.20854,2.60379,9.09392,13.8335,10.3176,6.41239,6.56897,7.09775,7.15024,11.6284
-13.7012,0.23693,0.318247,2,3,0,17.4542,8.20854,2.60379,9.09392,13.8335,10.3176,6.41239,6.56897,7.09775,7.15024,11.6284
-13.7012,0.0157279,0.318247,2,3,0,18.637,8.20854,2.60379,9.09392,13.8335,10.3176,6.41239,6.56897,7.09775,7.15024,11.6284
-12.5525,0.86666,0.318247,2,3,0,15.1749,7.67595,3.07968,7.42205,12.0755,9.04618,7.915,8.17346,6.50673,6.94086,10.7067
-15.1952,0.682886,0.318247,2,3,0,18.6953,8.93816,1.86239,7.81858,11.6657,8.42626,7.6942,9.25137,3.91282,10.2558,13.325
-15.1952,0.000775062,0.318247,4,15,0,21.6812,8.93816,1.86239,7.81858,11.6657,8.42626,7.6942,9.25137,3.91282,10.2558,13.325
-15.1952,0.135899,0.318247,3,7,0,20.077,8.93816,1.86239,7.81858,11.6657,8.42626,7.6942,9.25137,3.91282,10.2558,13.325
-16.8851,1,0.318247,3,7,0,18.8729,11.5634,4.21516,15.5007,11.4569,9.07346,10.2915,12.0949,17.9366,10.9544,5.97249
-14.5813,0.894004,0.318247,3,7,0,20.8893,11.1375,2.84642,13.7135,8.87782,15.1406,8.8842,12.4022,11.3693,11.0166,16.0574
-17.182,0.488389,0.318247,2,3,0,24.6739,13.0712,4.24811,15.0189,10.6764,13.464,6.96034,12.5816,9.44502,21.075,15.3952
-15.0915,0.978827,0.318247,3,7,0,20.5988,9.34137,4.20423,15.9811,12.6734,10.9312,7.61474,10.9543,6.45054,8.41889,7.61489
-17.9702,0.860275,0.318247,3,7,0,21.1164,9.86103,3.86888,8.21448,10.4754,11.394,13.6637,6.36365,10.0784,18.2007,1.8347
-20.342,0.979856,0.318247,3,7,0,22.556,8.47642,9.69331,11.7989,18.1667,10.4605,9.6768,-1.34513,10.9478,14.5529,5.0283
-18.3555,0.942909,0.318247,4,11,0,24.8242,5.8049,5.54503,0.700059,0.925597,5.60007,6.51902,12.5113,4.16012,7.45409,11.4191
-19.7568,0.881938,0.318247,2,3,0,21.3189,7.2206,4.69135,-1.18279,-1.27812,6.87234,7.09644,12.1123,5.39313,6.77614,10.9674
-18.6585,0.969268,0.318247,3,7,0,23.6765,7.81511,5.59815,3.34959,0.208321,8.4205,4.15048,12.5601,3.72283,6.95044,11.3981
-16.8556,0.913699,0.318247,3,7,0,22.7208,12.3924,3.64385,12.3914,11.3579,9.40221,15.5435,2.2001,9.56225,10.798,13.192
-18.324,0.794561,0.318247,4,15,0,20.8666,8.35993,7.80578,17.0044,8.51579,6.79223,3.17311,6.08073,6.99809,18.0665,15.6244
-18.3138,0.97403,0.318247,4,15,0,26.2739,6.11076,8.17398,18.8627,6.33544,7.80197,4.37452,5.98087,3.73437,14.0394,12.1032
-15.3666,0.819239,0.318247,3,7,0,23.3759,6.6294,3.65172,6.62481,10.3475,7.43086,11.5568,10.3666,10.8819,6.13114,7.07745
-13.9216,0.993416,0.318247,2,3,0,17.0143,7.36863,3.04707,7.57361,10.5358,9.05525,9.29458,11.1366,10.5987,5.54995,7.51299
-13.9216,0.0677815,0.318247,4,15,0,22.8874,7.36863,3.04707,7.57361,10.5358,9.05525,9.29458,11.1366,10.5987,5.54995,7.51299
-15.6927,0.436105,0.318247,3,7,0,18.8544,9.05848,3.04179,9.35355,12.8949,8.2501,1.1779,5.26788,8.18153,7.76657,8.34385
-13.6837,0.655588,0.318247,3,7,0,20.4889,8.21249,3.65783,6.98103,12.0022,9.42415,8.4644,11.021,6.89199,6.95041,9.28814
-17.4601,0.564244,0.318247,3,7,0,27.9567,6.92859,3.16805,13.8921,10.66,6.39999,3.45578,10.372,11.2663,3.24538,8.17679
-17.4601,0.102218,0.318247,2,3,0,24.4467,6.92859,3.16805,13.8921,10.66,6.39999,3.45578,10.372,11.2663,3.24538,8.17679
-17.5551,1,0.318247,3,7,0,21.2108,5.87933,4.10055,4.38943,6.43732,7.69216,12.4234,4.35011,0.125737,15.9174,6.15984
-16.4293,0.966267,0.318247,4,15,0,20.6323,4.38326,5.59887,7.63047,1.60604,4.24831,10.8682,1.39231,-0.306151,3.22348,4.01881
-23.813,0.828191,0.318247,3,7,0,26.0195,1.74895,11.4081,11.2611,-3.39287,-11.9114,2.22418,-11.6543,13.0618,9.6108,7.64556
-22.3621,0.977407,0.318247,4,15,0,30.1867,-3.21455,6.78436,-3.16848,-0.694788,7.56838,-9.18511,2.82835,0.915565,7.335,-5.43335
-24.9463,0.885384,0.318247,3,7,0,27.6821,-4.47628,6.22085,-6.90607,-0.197195,8.37903,-6.90376,4.25004,1.24187,9.83001,-6.19781
-21.8621,0.974809,0.318247,4,15,0,29.219,7.72067,11.6928,26.6341,12.2334,-1.36786,16.4647,-0.00201237,1.7834,11.4207,17.9122
-32.0868,0.675843,0.318247,3,7,0,34.0883,13.1667,32.9379,25.5089,10.2594,4.38796,9.95709,-2.13541,3.33974,-6.65,29.3736
-28.8394,0.937021,0.318247,4,15,0,34.581,4.35983,14.471,-6.39987,4.63775,6.55509,4.81551,11.7219,6.71222,31.178,-14.1597
-24.3719,0.93762,0.318247,4,15,0,34.4341,4.24404,11.7762,18.6294,22.6133,-6.12647,-8.06093,-2.7317,0.792242,10.7495,-1.26752
-20.5339,0.982455,0.318247,3,7,0,25.7755,4.94751,7.16471,18.1399,17.0145,-0.139238,-0.318237,-2.91316,7.16182,5.2013,6.40984
-21.2614,0.942196,0.318247,4,15,0,25.5517,4.14093,10.4775,22.4259,4.13503,-12.3223,3.8001,0.750164,1.95308,15.6235,9.74794
-21.9063,0.91197,0.318247,4,15,0,25.6027,9.18287,3.72837,0.0533712,2.78684,14.4462,4.99467,5.02145,2.96496,7.71351,5.0052
-23.4654,1,0.318247,4,15,0,26.2573,0.403783,14.991,25.4517,4.08353,-7.0079,-3.12357,-6.93393,7.24703,11.3974,4.71083
-24.6414,0.979172,0.318247,4,15,0,29.3782,-0.113798,13.5222,6.03669,7.8307,-0.692988,14.8204,-2.69258,-13.7415,19.484,15.0834
-19.3746,0.960291,0.318247,4,15,0,26.8816,9.95174,7.49208,9.81672,12.1015,10.1553,3.71299,-2.18102,0.519768,15.3698,15.8925
-21.2401,0.970502,0.318247,2,3,0,21.7808,10.5806,7.18439,8.84018,13.6517,12.3695,2.42205,-3.24185,0.995614,16.5042,20.2837
-17.1209,0.955313,0.318247,3,7,0,23.8747,5.10546,4.7769,8.23599,5.75337,7.6422,5.60782,3.85078,-0.374332,8.25772,16.3658
-16.981,0.960776,0.318247,3,7,0,20.1899,8.90412,5.22064,17.8773,6.9387,2.84446,5.87464,2.0378,9.32475,14.7742,6.21493
-20.8399,0.905484,0.318247,3,7,0,23.745,6.05166,8.06484,1.58385,10.5763,14.3986,11.1509,12.093,0.984062,6.60101,8.39737
-21.6216,0.957501,0.318247,3,7,0,24.956,6.70982,5.14892,-0.710031,8.31509,17.9292,10.5041,6.1269,-0.339689,1.58943,9.00723
-19.5282,0.556839,0.318247,3,7,0,27.9772,4.32327,3.87852,-0.0125793,8.49549,13.7832,8.42256,5.68417,-0.576288,1.82616,5.39906
-20.3671,0.981041,0.318247,3,7,0,26.2162,4.2534,7.70706,0.911039,1.94021,-8.68548,9.48226,0.974445,-1.52731,12.5379,13.2577
-20.4984,0.971639,0.318247,3,7,0,23.7846,6.24123,8.23202,1.92269,-1.3965,-1.60583,11.9622,3.56133,4.74672,19.8186,9.1633
-17.1683,0.975841,0.318247,3,7,0,24.942,4.67045,3.1236,7.34061,10.0266,9.84072,6.43712,9.60149,4.31161,0.966445,3.44406
-17.2983,0.909974,0.318247,3,7,0,22.2131,1.27543,4.8506,3.92152,0.794819,-4.80982,-0.533067,1.10715,3.48186,12.1755,5.03136
-21.1067,0.734665,0.318247,4,15,0,24.7123,4.25255,6.95857,6.59596,10.0119,5.84538,-2.03978,-3.77727,-0.220987,1.52322,-8.46962
-18.9113,0.979738,0.318247,3,7,0,22.4036,1.80349,6.41251,4.70554,6.03714,8.28212,0.306019,-3.82205,-1.49116,7.40268,-6.97144
-20.5182,0.791987,0.318247,4,15,0,27.2599,11.6582,5.72748,5.3538,6.14444,4.99437,8.26993,0.954788,10.9396,19.8434,19.03
-19.4783,0.997998,0.318247,3,7,0,22.9138,11.6845,7.20769,5.63538,9.55776,4.90825,9.62346,1.4328,9.26232,19.4148,17.9091
-20.0272,0.758872,0.318247,3,7,0,28.9899,10.1416,10.8312,9.67733,10.3547,5.438,6.08798,1.09315,10.3968,15.9084,14.0924
-20.9845,0.607968,0.318247,3,7,0,28.0128,10.3935,12.0334,12.1696,7.90297,6.65808,2.41526,-1.13516,7.62184,15.1668,17.5361
-21.9082,0.789767,0.318247,3,7,0,25.7242,2.20362,6.53159,12.4891,4.84167,10.3207,7.92196,-0.458775,15.5516,11.5982,9.85452
-25.0887,1,0.318247,4,15,0,27.7562,18.7398,15.9075,19.6556,9.15988,2.64575,11.4514,3.0468,4.14103,26.3566,12.179
-26.3896,0.984275,0.318247,4,15,0,33.0915,7.18858,10.9594,-2.40793,-2.0657,9.9928,15.2168,6.54452,21.1151,23.9974,13.7415
-24.4311,0.847356,0.318247,4,15,0,35.7969,7.03971,10.4668,28.0327,3.24593,1.6922,-0.610464,11.636,-12.8469,10.6767,12.3374
-27.8398,0.840747,0.318247,4,15,0,33.6624,11.5358,10.1528,12.5206,15.9471,10.4715,3.655,-10.54,24.4221,25.1041,26.6719
-21.3615,0.999488,0.318247,3,7,0,29.4227,10.9807,10.1968,11.6364,13.5863,8.7591,-1.06119,0.0821477,13.2223,19.7181,15.9709
-22.1974,0.997331,0.318247,4,15,0,25.8575,2.69712,8.77522,11.6042,9.05117,-1.23253,-9.23866,5.64729,-9.1154,8.94152,12.0141
-22.7634,0.993081,0.318247,4,15,0,26.959,7.98839,7.9863,8.49683,1.07374,11.382,19.7574,0.255598,17.3449,14.462,-1.73589
-18.765,0.94564,0.318247,4,15,0,25.5244,8.69701,5.71096,19.4977,5.55295,4.8623,14.2874,1.11704,-0.104481,10.4044,4.90313
-19.6386,0.97373,0.318247,4,15,0,23.0782,11.2571,7.77636,16.0864,13.722,15.1042,9.25683,2.15076,8.28356,22.1005,18.7884
-15.882,0.987794,0.318247,4,15,0,22.6739,6.20226,3.9024,8.452,7.67307,2.62769,9.04978,13.5473,5.94729,5.01857,5.30697
-15.8853,0.788974,0.318247,3,7,0,22.0549,8.41282,4.94208,14.1015,2.55627,4.66044,12.1974,5.28278,4.60424,7.52358,8.79467
-20.5803,0.759256,0.318247,3,7,0,25.726,5.91533,7.06116,12.2654,7.95027,9.05427,9.1268,3.97701,-3.14482,-1.84744,16.5193
-17.2608,0.916228,0.318247,4,13,0,22.1989,8.80354,4.35094,8.02781,8.22404,5.36549,6.53857,3.79895,12.9351,18.7732,5.08466
-15.1758,1,0.318247,3,7,0,19.4148,6.10742,3.09322,8.88076,6.39681,5.87989,9.61288,2.74848,8.20438,-0.0229724,8.07588
-13.5433,0.903338,0.318247,3,7,0,17.8958,5.91845,3.6434,9.12094,10.1621,8.93032,5.69253,8.12587,5.02102,9.3992,5.69058
-14.8934,0.742719,0.318247,3,7,0,17.4287,6.8929,3.87643,5.62184,8.82292,6.98885,2.06616,8.11879,1.92601,8.17811,11.6129
-15.4985,0.948231,0.318247,3,7,0,17.3183,7.07626,3.93762,4.70479,7.57083,7.19927,0.755854,6.49435,1.11033,6.30629,9.83437
-17.4269,0.967814,0.318247,3,7,0,20.5208,4.00034,4.92439,5.32963,3.28732,2.2247,0.969219,6.96751,-1.50709,13.5333,11.0075
-17.7361,0.927515,0.318247,4,15,0,23.5139,3.15883,5.19327,5.5705,4.1808,-2.35041,4.40976,8.78023,-2.33177,11.4767,9.25707
-18.6336,0.956804,0.318247,4,15,0,23.5261,5.979,5.76795,8.63762,-3.01896,2.13378,3.54871,3.15426,-0.453794,15.2712,11.9427
-14.6556,0.998614,0.318247,3,7,0,21.9034,5.59169,3.73284,5.71089,7.76387,2.25038,9.51696,2.62095,7.89939,3.23872,1.51052
-15.7629,0.928595,0.318247,3,7,0,19.3021,6.03024,4.42473,7.15416,4.89322,7.38596,10.8835,0.126953,3.93722,11.0724,0.27963
-18.4524,0.807793,0.318247,4,15,0,21.7529,11.776,5.88561,10.7302,14.4019,11.0904,3.0928,3.81885,8.9713,6.60338,13.6698
-18.0105,0.93696,0.318247,3,7,0,21.6857,9.4431,6.86825,10.0967,11.9707,10.614,-0.4176,2.45831,6.05457,12.0587,12.858
-19.5838,0.491888,0.318247,4,15,0,26.8206,9.15966,3.90112,11.2108,8.80749,10.6217,-0.31519,2.46816,4.22938,8.21709,17.3064
-17.7024,1,0.318247,3,7,0,23.0278,7.94924,5.23822,8.73991,11.0778,12.3643,0.17874,1.36036,3.86847,10.9194,14.564
-13.787,0.791645,0.318247,3,5,0,22.4134,7.54574,3.60766,4.77382,11.5501,11.2077,8.94785,7.13094,7.94064,9.57949,8.96645
-13.787,0.482405,0.318247,2,3,0,19.1127,7.54574,3.60766,4.77382,11.5501,11.2077,8.94785,7.13094,7.94064,9.57949,8.96645
-13.3685,0.379449,0.318247,3,7,0,16.6391,9.20479,2.07361,9.88018,7.65959,10.6582,7.73708,4.52499,6.62744,6.54531,11.7566
-15.3802,0.449043,0.318247,2,3,0,18.9558,7.46614,5.35267,15.0187,8.6185,10.9128,7.13518,6.56073,5.39639,12.0178,6.52569
-17.7057,0.674608,0.318247,3,7,0,20.4364,10.6212,7.4006,14.4549,13.7239,12.2731,4.36963,7.5717,6.13572,14.112,11.9683
-15.8822,1,0.318247,3,7,0,20.3313,12.4998,4.67399,17.1286,13.065,15.1746,9.67793,9.3582,8.87171,17.0575,9.11799
-17.7747,0.912344,0.318247,3,7,0,20.8595,7.23679,7.16207,14.5642,5.44061,9.17178,8.68713,9.38007,0.526724,12.1987,13.7056
-18.6478,0.845743,0.318247,3,7,0,23.2849,6.55852,4.59136,17.6576,3.9992,9.50618,6.32394,6.91327,1.22462,10.6916,15.5242
-18.6478,0.278136,0.318247,4,15,0,25.1529,6.55852,4.59136,17.6576,3.9992,9.50618,6.32394,6.91327,1.22462,10.6916,15.5242
-20.6198,0.996432,0.318247,4,15,0,24.8024,10.2154,10.0214,11.331,4.66517,0.876551,14.5904,3.68312,3.5807,21.7956,17.4448
-23.1659,0.97292,0.318247,3,7,0,25.0374,9.86028,7.06429,3.69498,4.7861,-3.03435,16.3257,4.10309,10.1334,26.4902,13.942
-18.5179,0.984616,0.318247,4,15,0,26.5537,10.762,7.40721,12.8345,1.47414,7.35738,6.26552,4.69748,7.84807,16.1465,16.616
-18.674,0.95581,0.318247,4,11,0,23.8482,12.7073,5.86639,10.7154,11.3665,12.2842,16.7824,9.75455,13.8211,6.79264,6.47184
-16.7309,0.93068,0.318247,3,7,0,24.4832,9.66545,5.59309,11.6391,8.24309,7.96422,0.704842,10.0529,8.75201,12.1914,13.4659
-16.7309,0.768265,0.318247,3,7,0,22.043,9.66545,5.59309,11.6391,8.24309,7.96422,0.704842,10.0529,8.75201,12.1914,13.4659
-17.1822,0.95293,0.318247,4,15,0,20.7903,6.81603,3.86074,7.79169,9.57597,1.5145,8.32943,9.72707,4.53062,13.1175,-1.17205
-19.5763,0.914059,0.318247,4,15,0,22.3453,10.2737,4.82925,14.4197,12.785,12.4169,3.72631,4.03169,11.8322,11.4929,22.7047
-19.2055,0.969213,0.318247,4,15,0,24.5363,8.10273,8.57193,14.2515,4.54377,4.68794,10.9089,1.02946,3.97437,4.98486,17.9905
-18.3733,0.891267,0.318247,3,7,0,24.0983,12.885,5.17855,10.4606,8.90878,4.65827,7.48123,8.80184,6.69594,8.43751,9.66317
-16.0276,1,0.318247,2,3,0,19.64,8.37432,5.47062,9.48981,11.8461,6.88928,7.21246,12.8004,8.12373,8.76277,10.3348
-16.7373,0.635273,0.318247,3,7,0,19.8885,7.45026,4.80414,7.29348,11.8214,8.23337,9.68366,14.0317,10.4327,10.4716,8.7575
-17.7843,1,0.318247,2,3,0,20.4418,10.9339,3.3229,16.3899,13.2985,5.26093,9.05811,13.2328,3.88541,7.90803,9.07503
-14.7592,0.986616,0.318247,3,7,0,21.545,12.2418,4.32,16.3254,14.8107,10.139,9.83239,11.3126,12.512,12.0422,10.293
-16.6644,0.606661,0.318247,2,3,0,21.0854,15.434,3.0803,16.4916,15.5062,13.4821,9.50351,11.5605,11.0751,14.0977,11.2889
-13.0685,0.335013,0.318247,2,3,0,21.4206,12.4309,2.3247,17.0424,12.234,10.9189,14.0496,13.3978,13.8309,13.2939,9.97245
-15.5615,1,0.318247,3,7,0,19.462,9.54553,5.50221,14.8401,8.14934,9.6714,8.94923,4.87071,12.8605,11.0205,11.6575
-16.8017,0.967995,0.318247,2,3,0,18.7504,10.6962,3.20168,15.0636,3.91435,8.69837,9.51693,8.62397,15.7197,8.1194,11.9906
-21.6326,0.506083,0.318247,3,7,0,24.04,5.91858,7.02453,4.87481,21.2558,4.23777,2.11982,6.45011,1.92486,13.0772,17.5652
-19.9335,1,0.318247,4,15,0,25.6656,3.21485,7.09096,16.6508,-0.842818,3.52374,0.901944,5.84281,1.20579,10.0753,-7.2308
-13.9026,0.717567,0.318247,3,7,0,22.0481,5.27174,4.37255,11.2422,7.70339,3.88288,3.45422,4.94015,2.54926,8.98029,4.99621
-18.1655,0.898567,0.318247,3,7,0,19.7942,6.2808,3.55868,7.50152,8.8202,9.14064,0.493241,6.17109,2.70236,15.6393,1.00974
-18.9985,1,0.318247,3,7,0,20.83,6.3625,4.08547,12.0099,7.4696,4.37358,12.6138,-0.337991,9.57738,-0.8301,10.0751
-18.3705,1,0.318247,3,7,0,21.8027,7.44006,7.50687,8.63428,13.882,3.25024,8.81122,-3.41678,8.4058,8.79591,11.2529
-24.7203,0.901683,0.318247,4,15,0,26.9518,6.54082,13.3994,25.3666,6.61852,-0.0171296,-6.19677,0.808865,3.95487,23.3418,29.255
-27.847,0.98799,0.318247,4,15,0,30.1329,6.77502,15.558,18.7134,11.7588,-0.424916,1.02573,-5.50597,-17.8101,11.1539,36.7955
-28.8684,0.81714,0.318247,4,15,0,36.1632,9.20211,22.5039,24.0669,29.4408,-1.60563,9.64952,10.4086,-7.33566,17.5403,21.915
-26.2914,0.939435,0.318247,4,15,0,32.0628,-1.9558,11.0205,3.23159,-2.29765,18.9738,6.99767,-0.450072,14.8505,16.4912,1.71551
-21.873,0.978168,0.318247,4,15,0,31.7148,14.7692,9.69723,20.3445,15.4206,4.27997,16.1457,12.6816,4.03426,8.99375,9.05676
-14.87,0.964552,0.318247,3,7,0,22.7065,11.0247,3.51825,11.7069,10.3195,16.5361,10.9605,6.20785,11.6064,15.6073,10.1877
-11.4272,0.76682,0.318247,3,7,0,18.8993,7.96899,2.85549,10.8517,9.50514,4.79056,7.72902,6.60564,7.63246,8.38136,10.7921
-11.4272,0.00485205,0.318247,3,7,0,17.7767,7.96899,2.85549,10.8517,9.50514,4.79056,7.72902,6.60564,7.63246,8.38136,10.7921
-11.8981,0.576346,0.318247,3,7,0,16.7259,3.28589,2.96981,5.50173,3.8651,4.1629,1.30157,3.70002,1.63292,7.56863,5.01431
-11.8981,0.256568,0.318247,3,7,0,17.649,3.28589,2.96981,5.50173,3.8651,4.1629,1.30157,3.70002,1.63292,7.56863,5.01431
-12.0418,0.556808,0.318247,3,7,0,15.6486,0.621824,2.8577,1.98868,0.720346,0.88885,3.13588,2.65114,2.78959,2.02919,1.44136
