# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = eight_schools_ncp_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = eight_schools.data.R
# init = 2 (Default)
# random
#   seed = 483892929
# output
#   file = eight_schools_ncp.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
-3.54851,0.467683,0.314544,4,15,0,9.03066,-3.02197,9.98468,1.5658,0.682357,0.919859,0.344186,0.368619,0.361508,0.897816,1.36336,12.612,3.79115,6.16253,0.414624,0.658576,0.587574,5.94244,10.5908
-3.87872,0.918949,0.314544,3,7,0,7.04408,-0.901437,13.7296,1.60582,0.969774,0.751444,0.689127,0.476911,0.657634,0.772909,1.48415,21.1457,12.4131,9.41556,8.55997,5.64633,8.12758,9.71025,19.4752
-5.99054,0.975577,0.314544,3,7,0,8.96745,-4.68352,11.202,1.49737,0.524363,1.53043,0.0770258,0.557308,0.364207,1.57281,1.8154,12.09,1.19041,12.4603,-3.82068,1.55945,-0.603666,12.9352,15.6526
-5.65363,0.976693,0.314544,3,7,0,9.03333,-4.04143,9.66564,1.84301,0.405306,1.31456,-0.170765,0.714729,1.18719,1.03703,0.542999,13.7724,-0.123881,8.66462,-5.69198,2.86688,7.43355,5.98212,1.20701
-5.16763,0.943518,0.314544,4,15,0,10.3245,11.7464,6.03063,-0.453631,-0.00864675,-1.22723,1.23708,-1.93385,-0.79407,0.904732,-0.0376137,9.01069,11.6942,4.34541,19.2067,0.0840497,6.95762,17.2025,11.5195
-5.66068,0.987013,0.314544,4,15,0,8.51069,6.5043,1.58904,0.974504,-0.305759,0.782249,-1.66679,1.16211,0.253409,-0.705108,-0.16476,8.05283,6.01844,7.74733,3.85572,8.35093,6.90698,5.38386,6.24249
-4.77124,0.98322,0.314544,4,15,0,11.8508,4.50727,4.43447,0.407937,0.826393,-1.31075,0.56293,-1.65886,-1.08939,0.420404,1.19778,6.31626,8.17188,-1.30522,7.00357,-2.84891,-0.323585,6.37154,9.81878
-6.39841,0.976813,0.314544,4,15,0,9.58328,7.25516,2.42376,0.343979,-1.57794,0.669686,-1.75698,0.582112,0.0128205,-0.0948773,-1.37649,8.08888,3.43063,8.87832,2.99667,8.66606,7.28624,7.0252,3.91889
-6.22668,0.974557,0.314544,4,15,0,13.3023,6.66524,2.83845,1.38081,0.946416,0.644398,0.280125,-1.13952,1.66675,1.02692,1.33319,10.5846,9.35159,8.49433,7.46036,3.43077,11.3962,9.5801,10.4494
-3.60089,0.985317,0.314544,3,7,0,9.0089,4.26481,6.5008,0.872824,1.46733,-0.486947,0.274978,-0.429569,1.28858,0.895199,0.685432,9.93887,13.8036,1.09927,6.05239,1.47227,12.6416,10.0843,8.72067
-1.918,0.989267,0.314544,3,7,0,5.7074,5.62043,10.1926,0.929674,1.21954,-0.326072,0.0336794,-0.517984,-0.161324,-0.133559,0.0284904,15.0963,18.0507,2.2969,5.96372,0.34081,3.97611,4.25912,5.91083
-5.35438,0.942452,0.314544,3,7,0,6.91204,8.16729,5.48358,0.38081,-1.39362,-2.06032,0.144192,-0.196913,-0.835377,1.4489,0.915393,10.2555,0.525288,-3.13063,8.95797,7.0875,3.58644,16.1125,13.1869
-4.34174,0.998462,0.314544,4,15,0,9.28662,8.20596,3.99549,-1.01059,0.933449,-0.323003,-0.0194779,-0.133887,-0.335761,-0.910572,-1.10817,4.16816,11.9356,6.91541,8.12814,7.67102,6.86444,4.56779,3.77829
-4.77331,0.970395,0.314544,4,15,0,9.42322,4.6441,2.99483,0.788377,0.389221,0.199337,1.15297,-0.521487,-0.168574,1.61042,1.73349,7.00515,5.80975,5.24108,8.09705,3.08234,4.13925,9.46703,9.8356
-5.07517,0.987063,0.314544,4,15,0,8.52108,9.98108,6.7346,1.41537,0.105972,-0.104333,-0.0486012,-0.79927,-0.707818,2.13927,1.51291,19.513,10.6948,9.27843,9.65377,4.59831,5.21421,24.3882,20.1699
-3.97702,0.998794,0.314544,3,7,0,8.22551,1.80386,10.1085,1.87628,0.0945147,-0.00852179,-0.520859,-0.81355,0.318144,0.0568777,1.44196,20.7702,2.75926,1.71772,-3.46122,-6.41989,5.01981,2.37881,16.3799
-4.6287,0.946199,0.314544,4,15,0,8.67545,3.19382,4.76488,1.22576,0.856036,-0.0820684,1.43617,-0.330843,-0.983378,1.99131,-0.131572,9.03443,7.27273,2.80278,10.037,1.6174,-1.49185,12.6822,2.5669
-6.44738,0.734636,0.314544,3,7,0,11.1587,4.23124,12.1023,1.15769,0.922583,-0.854285,1.579,-0.418877,-1.00595,2.01312,-0.0841124,18.2419,15.3966,-6.10758,23.3408,-0.838141,-7.94303,28.5946,3.21328
-8.52781,1,0.314544,3,7,0,11.9162,-3.17964,7.30313,0.887617,0.703312,-1.19764,-0.931509,0.118669,2.35433,0.716394,0.548516,3.30274,1.95674,-11.9262,-9.98257,-2.31298,14.0143,2.05228,0.826241
-7.55368,0.854299,0.314544,4,15,0,16.0019,13.1014,1.14487,0.25848,-0.107645,1.06656,0.81461,-0.458075,-2.24548,0.71083,-0.161745,13.3973,12.9782,14.3225,14.034,12.577,10.5306,13.9152,12.9162
-7.14265,0.977935,0.314544,3,7,0,10.8449,13.509,3.44583,0.167541,0.809142,0.7602,1.28839,-0.738949,-2.16524,0.701116,-0.271146,14.0864,16.2972,16.1286,17.9486,10.9628,6.04799,15.925,12.5747
-7.38413,0.994789,0.314544,4,15,0,11.8952,-0.570667,3.22346,0.830193,-0.78213,-0.0156195,-1.84315,0.422772,1.57153,0.366757,-0.0960992,2.10543,-3.09183,-0.621016,-6.51199,0.792124,4.49509,0.61156,-0.880439
-8.49688,0.980461,0.314544,4,15,0,14.8859,9.74394,2.073,1.49125,-0.703523,0.00116857,1.3334,-1.21883,1.44943,-1.57957,-1.24718,12.8353,8.28554,9.74637,12.5081,7.21731,12.7486,6.46951,7.15854
-8.71303,0.99854,0.314544,4,15,0,14.2588,3.89282,3.25498,-1.15483,0.857242,-0.396794,-0.993672,0.556628,-1.72504,2.57134,1.18235,0.133883,6.68313,2.60127,0.658442,5.70463,-1.72213,12.2625,7.74135
-8.71805,1,0.314544,4,15,0,12.8526,8.24075,2.27819,1.99356,-0.829882,0.26633,0.805049,-1.17476,1.2098,-1.81661,-1.2907,12.7825,6.35013,8.8475,10.0748,5.56444,10.9969,4.10217,5.30029
-9.32502,0.997261,0.314544,4,15,0,13.3713,10.3268,1.49625,1.79136,-0.82893,0.404316,1.13631,-0.810149,1.07168,-2.0509,-1.25001,13.0071,9.08654,10.9318,12.027,9.11464,11.9303,7.25817,8.4565
-10.3578,0.978716,0.314544,3,7,0,13.9836,16.2073,1.40761,1.84501,-0.0399491,0.0218546,1.07128,-1.11405,1.49121,-0.938974,-0.882737,18.8044,16.1511,16.2381,17.7153,14.6392,18.3064,14.8856,14.9648
-10.0236,0.940914,0.314544,4,15,0,19.6028,11.0006,4.28614,-0.93345,-0.421849,-1.24306,-0.0588604,-0.976409,-3.22785,-1.2618,-0.98235,6.99972,9.19251,5.67271,10.7483,6.81559,-2.8344,5.59235,6.79013
-10.7846,0.964664,0.314544,3,7,0,17.0765,16.7589,4.86907,-1.61544,-0.205228,0.0916174,-0.594968,-1.46975,-3.2416,-0.268633,-0.203562,8.89316,15.7596,17.205,13.8619,9.60255,0.975307,15.4509,15.7677
-4.93341,0.941098,0.314544,4,15,0,16.6003,12.3382,8.35667,0.422647,-0.865713,0.778924,-0.115031,0.565331,-1.59624,0.49056,0.146765,15.8702,5.10376,18.8474,11.377,17.0625,-1.00098,16.4377,13.5647
-5.80948,0.946919,0.314544,4,15,0,10.1662,-0.793845,4.13613,1.46732,0.122256,-0.962293,-1.04801,-0.889025,0.526592,1.29291,0.882361,5.2752,-0.28818,-4.77402,-5.12856,-4.47097,1.38421,4.55379,2.85572
-6.4491,1,0.314544,4,15,0,8.89803,11.5036,1.29254,-0.976249,-0.592877,0.342892,1.47837,-0.590426,-0.999202,1.02074,-0.830919,10.2417,10.7373,11.9468,13.4144,10.7404,10.2121,12.8229,10.4296
-7.34588,0.830604,0.314544,4,15,0,13.7221,14.2392,5.20909,0.618911,-1.13019,0.607546,-2.01985,-0.88124,0.517812,-1.19372,0.382093,17.4632,8.35194,17.404,3.71765,9.64875,16.9365,8.021,16.2296
-8.02279,0.984428,0.314544,4,15,0,13.9825,-6.19778,6.60758,-0.225715,0.422789,0.893384,0.130015,0.735476,1.84782,0.735767,0.584069,-7.68921,-3.40417,-0.294672,-5.33869,-1.33806,6.01187,-1.33614,-2.33849
-6.69628,0.985251,0.314544,3,7,0,13.4305,-2.54415,9.57429,0.390346,1.29286,0.945984,1.26376,-0.306253,-0.300599,0.964179,2.32947,1.19314,9.83409,6.51298,9.55548,-5.47631,-5.42217,6.68718,19.7588
-7.16298,0.987034,0.314544,3,7,0,10.0961,0.92508,5.37518,0.689244,0.428947,1.04235,2.2344,-0.543681,-0.206283,0.630306,2.12173,4.62989,3.23074,6.52789,12.9353,-1.9973,-0.183728,4.31308,12.3298
-5.56749,1,0.314544,3,7,0,8.43951,2.03679,4.55686,0.879664,0.664217,0.779514,1.69886,-0.196764,0.359625,0.220319,1.97159,6.0453,5.06354,5.58893,9.77826,1.14017,3.67555,3.04076,11.0211
-5.28264,1,0.314544,4,15,0,7.18699,2.54502,4.96754,1.04635,0.7777,0.587438,1.5913,0.0632308,0.121097,-0.0271531,1.94655,7.74283,6.40828,5.46315,10.4499,2.85912,3.14658,2.41014,12.2146
-4.648,0.956571,0.314544,4,15,0,12.7136,10.981,3.54483,0.0609353,-0.564257,0.138842,-1.57651,-0.231296,-1.70456,0.64378,-0.413019,11.197,8.98081,11.4732,5.39256,10.1611,4.93862,13.2631,9.51692
-6.46055,0.978335,0.314544,3,7,0,8.42989,12.1389,1.6267,-0.290042,-0.153648,0.704351,-1.82394,0.0983115,-1.68066,0.318064,0.192977,11.667,11.8889,13.2846,9.17186,12.2988,9.40493,12.6563,12.4528
-4.26684,0.999693,0.314544,3,7,0,7.7786,10.0717,3.27945,0.141289,-0.582106,0.164895,-1.58796,0.113022,-1.50206,0.198096,-0.217532,10.535,8.16266,10.6124,4.86403,10.4423,5.14571,10.7213,9.35827
-4.74259,0.97182,0.314544,4,15,0,9.49101,6.08921,5.72598,-0.25534,-0.20002,-0.409836,1.45438,-1.27962,1.00353,-0.465404,0.727529,4.62714,4.9439,3.7425,14.417,-1.23785,11.8354,3.42432,10.255
-5.27997,0.949014,0.314544,4,15,0,8.42641,5.64359,3.89764,1.50925,-0.204896,-0.106263,1.25179,-1.74101,-0.284437,0.111914,1.5682,11.5261,4.84498,5.22942,10.5226,-1.14224,4.53496,6.07979,11.7559
-6.24081,0.882471,0.314544,4,15,0,11.1133,5.58747,1.36658,1.38833,0.780105,0.730361,0.942661,0.420453,-0.0158404,0.155517,2.0036,7.48474,6.65355,6.58557,6.8757,6.16206,5.56583,5.8,8.32555
-7.4369,0.980374,0.314544,3,7,0,10.1092,2.02956,3.48475,1.69603,0.755578,0.107305,1.87762,-0.227713,0.431581,-0.353523,2.15068,7.93979,4.66256,2.40349,8.57258,1.23603,3.53351,0.797617,9.52413
-8.42249,0.974049,0.314544,4,15,0,14.593,1.56921,0.903388,0.449947,1.05377,-0.503859,0.0501915,-1.76655,0.687306,-0.914484,1.93706,1.97569,2.52118,1.11403,1.61456,-0.0266695,2.19012,0.74308,3.31913
-3.95944,0.996139,0.314544,4,15,0,12.9865,10.3404,4.52847,0.48634,-0.906216,0.981435,-1.07439,-0.243246,-0.0440557,0.359122,-1.13683,12.5428,6.23664,14.7848,5.47507,9.23888,10.1409,11.9667,5.19231
-3.93219,0.950692,0.314544,4,15,0,9.5019,6.66108,6.1004,0.110472,1.61521,-0.974391,0.236236,-1.41788,-0.886924,0.6946,0.530357,7.335,16.5145,0.716907,8.10221,-1.98859,1.25049,10.8984,9.89647
-4.8328,0.928881,0.314544,3,7,0,9.30196,4.05835,5.28749,0.361186,1.24634,-0.0787995,-0.578872,-1.57569,-0.0813313,1.91688,1.04883,5.96812,10.6483,3.6417,0.997564,-4.27312,3.62831,14.1939,9.60403
-4.02707,0.95054,0.314544,3,7,0,8.74123,10.2416,4.06333,1.46603,0.408229,-0.905759,0.757924,-0.291487,0.0706589,1.33913,-0.587661,16.1986,11.9003,6.56117,13.3213,9.05717,10.5287,15.6829,7.85371
-5.01263,0.968729,0.314544,4,15,0,11.0326,5.02454,4.31155,-1.37052,-0.366787,0.763253,-0.799623,0.16661,-0.257829,-0.765209,0.670268,-0.884544,3.44312,8.31534,1.57692,5.74288,3.91289,1.7253,7.91443
-5.03165,0.928014,0.314544,4,15,0,10.1807,5.6881,1.76782,-1.4,-0.115876,0.710883,-0.756833,0.252098,-0.0650379,-1.15172,0.422156,3.21316,5.48325,6.94481,4.35015,6.13376,5.57312,3.65206,6.43439
-5.43815,0.995374,0.314544,3,7,0,7.08233,10.4509,1.71863,-0.853092,0.164919,0.787994,-1.19704,0.343086,-0.0753234,-0.974128,1.00749,8.9848,10.7344,11.8052,8.39368,11.0406,10.3215,8.77679,12.1824
-9.42034,0.956302,0.314544,3,7,0,12.0368,10.3085,0.493504,-0.423461,0.773986,-0.0837138,-2.43386,1.32936,-0.963554,-0.24853,1.28349,10.0995,10.6905,10.2672,9.10738,10.9645,9.83298,10.1858,10.9419
-4.97868,0.996115,0.314544,4,15,0,13.0332,6.23471,6.46157,0.104951,0.0900025,-0.338499,0.0357498,0.129966,0.0981322,-1.39093,1.68587,6.91286,6.81627,4.04748,6.46571,7.0745,6.8688,-2.75287,17.1281
-2.05128,0.983035,0.314544,4,15,0,9.07469,7.2035,3.88606,0.775911,-0.278785,-0.425992,0.898264,0.035286,-0.0697537,0.587281,0.510092,10.2187,6.12013,5.54807,10.6942,7.34063,6.93244,9.48571,9.18575
-3.1072,0.716005,0.314544,3,7,0,8.06062,6.79523,12.032,1.64708,-1.07392,-0.42858,-0.23271,-0.0574826,-0.324492,-0.1749,-0.0521262,26.613,-6.12624,1.63854,3.99526,6.1036,2.89093,4.69082,6.16805
-5.39445,0.991397,0.314544,4,15,0,7.70944,11.0475,3.00496,-1.29131,1.12181,-0.379867,0.653739,-1.25263,-0.458883,1.19452,-0.122808,7.16717,14.4185,9.906,13.0119,7.28338,9.66856,14.637,10.6785
-4.74265,0.995074,0.314544,4,15,0,9.01218,2.16891,3.35962,0.403688,-0.436468,-0.810544,-0.516845,1.5724,0.14203,-0.253932,0.602202,3.52514,0.702538,-0.554214,0.432504,7.45158,2.64607,1.31579,4.19207
-4.67675,0.985814,0.314544,4,15,0,7.95357,8.79123,3.54508,0.719224,1.16705,-1.31949,1.07745,-0.435079,0.921694,0.938313,-0.0777913,11.3409,12.9285,4.11353,12.6109,7.24885,12.0587,12.1176,8.51546
-4.48899,0.999021,0.314544,4,15,0,7.54054,4.37954,1.68542,0.37283,-1.12106,0.661601,-0.868778,-0.412657,-1.21033,0.504213,0.397442,5.00792,2.4901,5.49462,2.91529,3.68404,2.33963,5.22935,5.0494
-3.41754,0.998201,0.314544,3,7,0,5.77432,4.87121,2.51958,0.512441,-0.254817,0.374857,-1.52034,-0.111744,-0.228199,0.488782,0.628737,6.16235,4.22918,5.81569,1.0406,4.58966,4.29624,6.10274,6.45536
-2.74805,0.910289,0.314544,3,7,0,8.09927,5.64944,4.89153,1.70756,-0.614203,0.355382,0.307036,0.323179,0.128205,0.548283,0.610234,14.002,2.64505,7.38781,7.15132,7.23028,6.27656,8.33139,8.63442
-2.87682,0.98908,0.314544,4,15,0,5.76492,7.81891,6.81651,-0.276391,-0.291579,-0.82691,0.278082,-0.765288,-0.360259,0.307093,-1.56696,5.93489,5.83136,2.18227,9.71446,2.60232,5.3632,9.91221,-2.86228
-6.20098,0.896262,0.314544,3,7,0,8.20497,9.52008,2.6896,2.47405,-0.322071,0.141755,0.916823,-0.60479,0.460724,0.862363,-1.10083,16.1743,8.65383,9.90134,11.986,7.89343,10.7592,11.8395,6.55929
-4.55125,0.990115,0.314544,4,15,0,11.0456,1.93057,5.31549,0.716264,-0.978597,-0.676838,-1.09254,0.0646179,-0.277742,0.963679,-1.09763,5.73787,-3.27115,-1.66715,-3.87681,2.27405,0.454238,7.053,-3.9039
-9.91227,0.915832,0.314544,3,7,0,13.8621,16.9215,3.07189,2.13633,0.851938,1.03953,-0.673086,-1.19953,-1.31334,-0.291168,1.01315,23.4841,19.5385,20.1148,14.8538,13.2367,12.887,16.027,20.0338
-6.02919,0.997383,0.314544,3,7,0,12.572,11.5495,6.30776,1.67547,0.861842,1.12988,-1.04654,-1.7065,-1.05642,-0.24572,0.293289,22.118,16.9858,18.6765,4.94819,0.785286,4.88587,9.99956,13.3995
-3.75162,0.988497,0.314544,3,7,0,8.5527,11.6551,5.60136,1.06922,1.08247,-0.0218248,0.367507,-0.290538,-0.806394,0.881008,0.764579,17.6442,17.7184,11.5329,13.7136,10.0277,7.13819,16.5899,15.9378
-2.15726,0.993581,0.314544,3,7,0,6.4347,6.38179,9.71787,0.166217,0.453517,-1.35513,-0.208575,0.318335,-0.861037,0.585098,0.0980902,7.99707,10.789,-6.78721,4.35489,9.47533,-1.98565,12.0677,7.33502
-3.85269,0.962362,0.314544,4,15,0,6.20982,5.42908,2.95358,-1.42336,0.53238,-0.908346,-0.0759787,-0.0746238,-0.521174,-0.341891,0.122459,1.22506,7.00151,2.74621,5.20467,5.20867,3.88975,4.41928,5.79077
-3.94857,0.970217,0.314544,4,15,0,6.68798,7.74953,1.86281,-1.28652,0.0714835,-1.17362,-0.352105,-0.678815,-0.277799,0.459108,0.236342,5.35299,7.88269,5.5633,7.09363,6.48503,7.23204,8.60476,8.18979
-4.43649,0.958744,0.314544,4,15,0,10.1231,0.643445,4.92449,1.47658,0.233196,-0.0355055,-0.639985,0.732334,0.609448,1.46332,1.19822,7.91483,1.79182,0.468599,-2.50816,4.24982,3.64466,7.84953,6.54406
-5.6681,0.998424,0.314544,4,15,0,8.57833,5.26976,4.05979,1.9086,-0.490163,0.0889837,-1.00256,0.659637,0.424812,1.59091,1.42906,13.0183,3.2798,5.63101,1.19958,7.94774,6.99441,11.7285,11.0714
-5.11054,0.992874,0.314544,4,15,0,11.0003,8.64351,4.01139,1.9884,-0.717827,-0.639688,-1.44522,-0.443426,0.0738183,0.60934,1.24613,16.6198,5.76402,6.07747,2.84618,6.86475,8.93962,11.0878,13.6422
-3.90815,0.989454,0.314544,4,15,0,9.19523,-2.67731,9.71164,-0.0725137,1.12295,0.0914547,1.4699,0.124867,-0.082439,1.12348,0.533063,-3.38153,8.22838,-1.78913,11.5978,-1.46464,-3.47792,8.23356,2.49961
-3.89664,0.951931,0.314544,4,15,0,8.34008,6.23806,6.06067,2.41698,-0.199234,-0.037784,-0.926191,0.0224061,-0.262176,0.169001,-0.606798,20.8866,5.03056,6.00906,0.624717,6.37385,4.6491,7.26232,2.56045
-4.33564,0.878341,0.314544,4,11,0,8.51773,10.6894,1.73953,0.366372,0.293118,-0.764119,1.10202,-0.987732,0.283705,-0.231512,-0.743844,11.3268,11.1993,9.36024,12.6064,8.97126,11.183,10.2867,9.39551
-5.12407,0.999934,0.314544,4,15,0,7.93217,2.86072,1.55333,-0.227315,-1.07968,1.58868,-0.466042,0.487686,-0.274608,-0.0586617,-0.177272,2.50763,1.18362,5.32847,2.1368,3.61826,2.43417,2.7696,2.58536
-5.87304,0.986841,0.314544,4,15,0,8.72721,8.95363,1.5668,-1.19382,-1.95409,0.432575,-0.531461,-0.971117,-0.0948839,-0.39614,-0.0555675,7.08315,5.89195,9.63139,8.12093,7.43208,8.80496,8.33296,8.86657
-4.86512,0.990969,0.314544,4,15,0,10.1993,4.86514,3.37227,1.73009,1.90214,-0.804322,0.426083,0.179558,-0.246184,0.944037,0.00390874,10.6995,11.2797,2.15275,6.302,5.47066,4.03494,8.04869,4.87832
-5.97567,0.975474,0.314544,3,7,0,10.7663,2.84334,2.68657,-2.05711,-0.83578,0.467047,0.569483,-0.451542,-0.0744186,0.861748,-0.45562,-2.68322,0.597956,4.09809,4.37329,1.63024,2.64341,5.15848,1.61928
-5.68542,0.979931,0.314544,3,7,0,10.7938,6.5147,5.85115,-1.56364,-0.352062,-1.59684,1.03892,-0.857961,-0.753545,1.01136,0.635591,-2.6344,4.45473,-2.82867,12.5936,1.49464,2.1056,12.4323,10.2336
-3.54227,0.993689,0.314544,4,15,0,8.25827,6.38643,4.14703,0.728002,-0.298556,1.20248,0.296244,0.267282,0.512596,1.25541,-0.831599,9.40547,5.14831,11.3732,7.61496,7.49485,8.51218,11.5927,2.93776
-4.0759,0.912258,0.314544,4,15,0,13.1554,5.47437,6.84069,-0.188599,0.412528,-0.915236,-0.375529,-0.799538,0.640619,-1.03923,0.637358,4.18422,8.29634,-0.786477,2.90549,0.00498217,9.85664,-1.63469,9.83434
-4.76343,0.802327,0.314544,4,15,0,9.87838,6.65152,9.2004,0.161271,0.447545,-0.210814,-0.775209,-0.538089,1.16723,-0.771703,0.95006,8.13528,10.7691,4.71195,-0.480708,1.70089,17.3905,-0.448452,15.3925
-4.59651,0.714715,0.314544,4,15,0,12.7879,3.59018,9.64914,0.142508,-0.784175,0.674868,-0.442919,0.179448,0.577865,-0.553187,0.642173,4.96526,-3.97644,10.1021,-0.683603,5.3217,9.16608,-1.7476,9.7866
-6.1888,0.998613,0.314544,4,15,0,8.80246,9.40065,0.710822,-1.29642,-0.066481,1.13642,0.473679,-0.624433,-0.64302,-0.256872,1.32299,8.47912,9.3534,10.2084,9.73735,8.95679,8.94358,9.21806,10.3411
-7.10803,0.980169,0.314544,3,7,0,11.9402,8.89995,2.94616,-0.562738,-0.899712,0.568202,-2.56441,0.259844,0.454419,-0.721479,0.540429,7.24203,6.24925,10.574,1.34479,9.66549,10.2387,6.77435,10.4921
-6.39015,0.9819,0.314544,4,15,0,13.5813,5.76455,0.227599,-0.857459,0.73055,-0.0658466,1.2059,1.17571,-0.236094,0.263153,-0.515093,5.56939,5.93082,5.74956,6.03901,6.03214,5.71082,5.82444,5.64732
